source_file,pdf_document,table_no,section,simple_type,pdf_enum_name_observed,value_count,values_pipe,extraction_status
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),77,3.13,GNSSCoordinateSystemEnumeration,GNSSCoordinateSystemsEnumeration,9,CH1903|ETSR89|IERS|NAD27|NAD83|WGS84|WGS72|SGS85|P90,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),78,3.14,GNSSQualityEnumeration,GNSSQualityEnumeration,5,dGPS|Estimated|GPS|NotValid|Unknown,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),79,3.15,GNSSTypeEnumeration,GNSSTypeEnumeration,8,GPS|Glonass|Galileo|Beidou|IRNSS|Other|DeadReckoning|MixedGNSSTypes,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),80,3.16,JourneyModeEnumeration,JourneyModeEnumeration,3,NoTrip|AdditionalTrip|ServiceTrip,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),81,3.17,LocationStateEnumeration,LocationStateEnumeration,4,AfterStop|AtStop|BetweenStop|BeforeStop,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),82,3.18,MessageTypeEnumeration,MessageTypeEnumeration,3,Status|Warning|Error,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),83,3.19,RouteDeviationEnumeration,RouteDeviationEnumeration,3,onroute|offroute|unknown,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),84,3.20,RouteDirectionEnumeration,RouteDirectionEnumeration,5,Forward|Backward|Clockwise|Counterclockwise|Other,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),85,3.21,ServiceNameEnumeration,ServiceNameEnumeration,24,AnalogRadioService|BeaconLocationService|CustomerInformationService|DeviceManagementService|DistanceLocationService|GNSSLocationService|JourneyInformationService|NetworkLocationService|PassengerCountingService|SystemDocumentationService|SystemManagementService|TicketingService|TimeService|TestService|VideoLiveService|VideoRecordingService|VideoDisplayService|DoorStateService|TrainSetDataService|TrainSetInformationService|TrainSetManagementService|TicketValidationService|HTMLDisplayService|SystemMonitoringService,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),86,3.22,ServiceStateEnumeration,ServiceStateEnumeration,5,defective|notrunning|running|starting|standby,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),87,3.23,SystemDocumentationInformationEnumeration,SystemDocumentationInformationEnumeration,4,ErrorMessage|StatusMessage|WarningMessage|All,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),88,3.24,TicketRazziaInformationEnumeration,TicketRazziaInformationEnumeration,2,razzia|norazzia,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),89,3.25,TicketValidationEnumeration,TicketValidationEnumeration,3,Valid|notvalid|NoCard,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),90,3.26,VehicleModeEnumeration,VehicleModeEnumeration,8,Air|bus|coach|ferry|metro|rail|tram|underground,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),91,3.27,TripStateEnumeration,TripStateEnumeration,6,EmptyRun|OnTrip|OffTrip|TripBreak|OffDuty|unknown,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),92,3.28,PtSubModesEnumeration,PtSubModesEnumeration,11,unknown|undefined|AirSubmode|BusSubmode|CoachSubmode|FunicularSubmode|MetroSubmode|TramSubmode|TelecabinSubmode|RailSubmode|WaterSubmode,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),93,3.29,PrivateSubModesEnumeration,PrivateSubModesEnumeration,4,unknown|undefined|SelfDriveSubmode|TaxiSubmode,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),94,3.30,RailSubmodeEnumeration,RailSubmodeEnumeration,18,unknown|local|highSpeedRail|suburbanRailway|regionalRail|interregionalRail|longDistance|international|sleeperRailService|nightRail|carTransportRailService|touristRailway|airportLinkRail|railShuttle|replacementRailService|specialRail|crossCountryRail|rackAndPinionRailway,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),95,3.31,CoachSubmodeEnumeration,CoachSubmodeEnumeration,11,unknown|undefined|internationalCoach|nationalCoach|shuttleCoach|regionalCoach|specialCoach|schoolCoach|sightseeingCoach|touristCoach|commuterCoach,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),96,3.32,MetroSubmodeEnumeration,MetroSubmodeEnumeration,5,unknown|undefined|metro|tube|urbanRailway,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),97,3.33,BusSubmodeEnumeration,BusSubmodeEnumeration,19,unknown|undefined|localBus|regionalBus|expressBus|nightBus|postBus|specialNeedsBus|mobilityBus|mobilityBusForRegisteredDisabled|sightseeingBus|shuttleBus|highFrequencyBus|dedicatedLaneBus|schoolBus|schoolAndPublicServiceBus|railReplacementBus|demandAndResponseBus|airportLinkBus,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),98,3.34,TramSubmodeEnumeration,TramSubmodeEnumeration,8,unknown|undefined|cityTram|localTram|regionalTram|sightseeingTram|shuttleTram|trainTram,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),99,3.35,WaterSubmodeEnumeration,WaterSubmodeEnumeration,22,unknown|undefined|internationalCarFerry|nationalCarFerry|regionalCarFerry|localCarFerry|internationalPassengerFerry|nationalPassengerFerry|regionalPassengerFerry|localPassengerFerry|postBoat|trainFerry|roadFerryLink|airportBoatLink|highSpeedVehicleService|highSpeedPassengerService|sightseeingService|schoolBoat|cableFerry|riverBus|scheduledFerry|shuttleFerryService,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),100,3.36,AirSubmodeEnumeration,AirSubmodeEnumeration,16,unknown|undefined|internationalFlight|domesticFlight|intercontinentalFlight|domesticScheduledFlight|shuttleFlight|intercontinentalCharterFlight|internationalCharterFlight|roundTripCharterFlight|sightseeingFlight|helicopterService|domesticCharterFlight|SchengenAreaFlight|airshipService|shortHaulInternationalFlight,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),101,3.37,TelecabinSubmodeEnumeration,TelecabinSubmodeEnumeration,8,unknown|undefined|telecabin|cableCar|lift|chairLift|dragLift|telecabinLink,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),102,3.38,FunicularSubmodeEnumeration,FunicularSubmodeEnumeration,5,Unknown|funicular|streetCableCar|allFunicularServices|undefinedFunicular,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),103,3.39,TaxiSubmodeEnumeration,TaxiSubmodeEnumeration,10,Unknown|Undefined|communalTaxi|charterTaxi|waterTaxi|railTaxi|bikeTaxi|blackCab|minicab|allTaxiServices,manual_from_public_pdf_text
VDV_301-2-1_V2.4_PDF,VDV-Schrift 301-2-1 V2.4 (01/2023),104,3.40,SelfDriveSubmodeEnumeration,SelfDriveSubmodeEnumeration,7,unknown|undefined|hireCar|hireVan|hireMotorbike|hireCycle|allHireVehicles,manual_from_public_pdf_text
